Designator,Mid X,Mid Y,Rotation,Layer
C1,58.0,34.5,180.0,top
C10,53.5,5.0,180.0,top
C11,68.75,38.0,270.0,top
C12,64.25,24.25,0.0,top
C13,96.25,59.5,0.0,top
C14,93.5,59.5,180.0,top
C15,47.25,58.75,180.0,top
C16,47.25,60.75,180.0,top
C17,47.75,62.5,180.0,top
C18,91.25,10.0,270.0,top
C19,84.5,23.75,0.0,top
C2,52.5,24.5,180.0,top
C20,81.25,40.5,90.0,top
C21,88.0,34.75,0.0,top
C22,87.25,36.25,0.0,top
C23,78.5,30.75,270.0,top
C24,76.5,36.25,180.0,top
C25,82.0,29.5,270.0,top
C26,83.5,29.75,270.0,top
C27,45.75,24.75,270.0,top
C29,72.75,55.0,270.0,top
C3,55.0,20.0,0.0,top
C30,71.25,55.25,270.0,top
C31,45.75,47.75,270.0,top
C33,80.0,53.75,0.0,top
C34,87.0,53.0,0.0,top
C35,87.5,54.5,0.0,top
C36,94.0,29.25,90.0,top
C37,95.5,29.75,90.0,top
C38,2.75,17.0,0.0,top
C39,3.0,26.5,0.0,top
C4,60.25,40.0,180.0,top
C40,5.75,17.0,180.0,top
C41,6.0,26.5,180.0,top
C42,9.0,17.0,0.0,top
C43,9.25,26.5,0.0,top
C44,12.0,17.0,180.0,top
C45,12.25,26.5,180.0,top
C46,15.25,17.0,0.0,top
C47,15.5,26.5,0.0,top
C48,18.25,17.0,180.0,top
C49,18.5,26.5,180.0,top
C5,103.75,60.0,0.0,top
C50,21.5,17.0,0.0,top
C51,21.75,26.5,0.0,top
C52,24.5,17.0,180.0,top
C53,24.75,26.5,180.0,top
C54,2.75,50.75,0.0,top
C55,3.0,60.25,0.0,top
C56,5.75,50.75,180.0,top
C57,6.0,60.25,180.0,top
C58,9.0,50.75,0.0,top
C59,9.25,60.25,0.0,top
C6,101.0,59.75,180.0,top
C60,12.0,50.75,180.0,top
C61,12.25,60.25,180.0,top
C62,15.25,50.75,0.0,top
C63,15.5,60.25,0.0,top
C64,18.25,50.75,180.0,top
C65,18.5,60.25,180.0,top
C66,21.5,50.75,0.0,top
C67,21.75,60.25,0.0,top
C68,24.5,50.75,180.0,top
C69,24.75,60.25,180.0,top
C7,53.25,34.75,0.0,top
C8,68.5,41.5,0.0,top
C9,56.5,9.75,90.0,top
D1,64.5,31.25,90.0,top
D11,2.75,21.5,180.0,top
D12,2.75,29.75,90.0,top
D14,5.75,21.5,0.0,top
D15,6.25,29.75,90.0,top
D17,9.0,21.5,180.0,top
D18,9.0,29.75,90.0,top
D2,49.5,18.5,180.0,top
D20,12.0,21.5,0.0,top
D21,12.5,29.75,90.0,top
D23,15.25,21.5,180.0,top
D24,15.25,29.75,90.0,top
D26,18.25,21.5,0.0,top
D27,18.75,29.75,90.0,top
D29,21.5,21.5,180.0,top
D3,105.0,62.75,0.0,top
D30,21.5,29.75,90.0,top
D32,24.5,21.5,0.0,top
D33,25.0,29.75,90.0,top
D35,2.75,55.25,180.0,top
D36,2.75,63.5,90.0,top
D38,5.75,55.25,0.0,top
D39,6.25,63.5,90.0,top
D4,70.75,32.5,270.0,top
D41,9.0,55.25,180.0,top
D42,9.0,63.5,90.0,top
D44,12.0,55.25,0.0,top
D45,12.5,63.5,90.0,top
D47,15.25,55.25,180.0,top
D48,15.25,63.5,90.0,top
D5,56.5,15.5,90.0,top
D50,18.25,55.25,0.0,top
D51,18.75,63.5,90.0,top
D53,21.5,55.25,180.0,top
D54,21.5,63.5,90.0,top
D56,24.5,55.25,0.0,top
D57,24.25,63.5,90.0,top
D58,92.75,19.75,180.0,top
D59,96.0,19.75,180.0,top
D6,67.0,32.5,270.0,top
D60,99.25,19.75,180.0,top
D61,102.5,19.75,180.0,top
D62,105.75,19.75,180.0,top
D63,109.0,19.75,180.0,top
D64,112.25,19.75,180.0,top
D65,115.5,19.75,180.0,top
D66,92.75,53.5,180.0,top
D67,96.0,53.5,180.0,top
D68,99.25,53.5,180.0,top
D69,102.5,53.5,180.0,top
D7,75.5,28.0,90.0,top
D70,105.75,53.5,180.0,top
D71,109.0,53.5,180.0,top
D72,112.25,53.5,180.0,top
D73,115.5,53.5,180.0,top
D8,74.25,55.5,270.0,top
D9,76.0,53.75,180.0,top
FB1,2.75,18.5,0.0,top
FB10,5.75,52.25,180.0,top
FB11,9.0,52.25,0.0,top
FB12,12.0,52.25,180.0,top
FB13,15.25,52.25,0.0,top
FB14,18.25,52.25,180.0,top
FB15,21.5,52.25,0.0,top
FB16,24.5,52.25,180.0,top
