Designator,Mid X,Mid Y,Rotation,Layer
C1,61.5,9.75,90.0,top
C10,74.75,38.5,270.0,top
C11,78.25,38.0,90.0,top
C12,65.25,40.0,180.0,top
C13,58.25,34.75,0.0,top
C14,63.0,34.5,180.0,top
C15,102.75,59.5,0.0,top
C16,100.0,59.5,180.0,top
C17,72.25,61.5,180.0,top
C18,72.75,63.25,180.0,top
C19,86.25,42.25,90.0,top
C2,57.5,24.5,180.0,top
C20,90.5,33.5,0.0,top
C21,83.0,32.0,180.0,top
C22,91.0,37.25,0.0,top
C23,90.5,38.75,0.0,top
C24,90.75,27.0,270.0,top
C25,75.25,4.25,180.0,top
C26,50.5,30.5,270.0,top
C27,50.5,47.75,270.0,top
C28,97.0,29.25,90.0,top
C29,98.5,29.75,90.0,top
C3,60.0,20.25,0.0,top
C30,66.75,50.0,0.0,top
C31,66.5,51.5,0.0,top
C32,56.5,50.25,270.0,top
C33,58.25,50.75,270.0,top
C34,64.0,51.0,270.0,top
C35,3.75,16.25,0.0,top
C36,4.0,26.25,0.0,top
C37,7.25,16.25,180.0,top
C38,7.5,26.25,180.0,top
C39,10.75,16.25,0.0,top
C4,58.5,5.0,180.0,top
C40,11.0,26.25,0.0,top
C41,14.25,16.25,180.0,top
C42,14.5,26.25,180.0,top
C43,17.75,16.25,0.0,top
C44,18.0,26.25,0.0,top
C45,21.25,16.25,180.0,top
C46,21.5,26.25,180.0,top
C47,24.75,16.25,0.0,top
C48,25.0,26.25,0.0,top
C49,28.25,16.25,180.0,top
C5,69.0,24.25,0.0,top
C50,28.5,26.25,180.0,top
C51,3.75,50.25,0.0,top
C52,4.0,60.25,0.0,top
C53,7.25,50.25,180.0,top
C54,7.5,60.25,180.0,top
C55,10.75,50.25,0.0,top
C56,11.0,60.25,0.0,top
C57,14.25,50.25,180.0,top
C58,14.5,60.25,180.0,top
C59,17.75,50.25,0.0,top
C6,110.25,60.0,0.0,top
C60,18.0,60.25,0.0,top
C61,21.25,50.25,180.0,top
C62,21.5,60.25,180.0,top
C63,24.75,50.25,0.0,top
C64,25.0,60.25,0.0,top
C65,28.25,50.25,180.0,top
C66,28.5,60.25,180.0,top
C7,107.5,59.75,180.0,top
C8,73.5,41.5,0.0,top
C9,73.0,38.0,270.0,top
D1,54.5,18.5,180.0,top
D10,59.5,51.0,270.0,top
D11,3.75,29.5,90.0,top
D13,3.75,21.25,180.0,top
D14,7.75,29.5,90.0,top
D16,7.25,21.25,0.0,top
D17,10.75,29.5,90.0,top
D19,10.75,21.25,180.0,top
D2,73.5,31.5,180.0,top
D20,14.75,29.5,90.0,top
D22,14.25,21.25,0.0,top
D23,17.75,29.5,90.0,top
D25,17.75,21.25,180.0,top
D26,21.75,29.5,90.0,top
D28,21.25,21.25,0.0,top
D29,24.75,29.5,90.0,top
D3,61.5,15.5,90.0,top
D31,24.75,21.25,180.0,top
D32,28.75,29.5,90.0,top
D34,28.25,21.25,0.0,top
D35,3.75,63.5,90.0,top
D37,3.75,55.25,180.0,top
D38,7.75,63.5,90.0,top
D4,77.25,27.75,0.0,top
D40,7.25,55.25,0.0,top
D41,10.75,63.5,90.0,top
D43,10.75,55.25,180.0,top
D44,14.75,63.5,90.0,top
D46,14.25,55.25,0.0,top
D47,17.75,63.5,90.0,top
D49,17.75,55.25,180.0,top
D5,111.5,62.75,270.0,top
D50,21.75,63.5,90.0,top
D52,21.25,55.25,0.0,top
D53,24.75,63.5,90.0,top
D55,24.75,55.25,180.0,top
D56,28.75,63.5,90.0,top
D58,28.25,55.25,0.0,top
D59,99.75,19.5,180.0,top
D6,45.5,63.0,90.0,top
D60,103.25,19.5,180.0,top
D61,106.75,19.5,180.0,top
D62,110.25,19.5,180.0,top
D63,113.75,19.5,180.0,top
D64,117.25,19.5,180.0,top
D65,120.75,19.5,180.0,top
D66,124.25,19.5,180.0,top
D67,99.75,53.5,180.0,top
