Designator,Mid X,Mid Y,Rotation,Layer
C1,47.765,35.56,180.0,top
C10,54.085,25.4,0.0,top
C11,87.77,64.77,0.0,top
C12,87.475,63.5,0.0,top
C13,72.545,61.595,180.0,top
C14,64.389,24.13,180.0,top
C15,75.41,23.495,0.0,top
C16,73.914,43.053,90.0,top
C17,63.995,37.465,180.0,top
C18,72.644,43.335,90.0,top
C19,78.74,34.29,0.0,top
C2,42.17,24.13,180.0,top
C20,72.517,32.893,180.0,top
C21,79.53,38.1,0.0,top
C22,79.53,36.83,0.0,top
C23,5.08,25.72,270.0,top
C24,7.62,25.72,270.0,top
C25,10.16,25.72,270.0,top
C26,12.7,25.72,270.0,top
C27,15.24,25.72,270.0,top
C28,17.78,25.72,270.0,top
C29,20.32,25.72,270.0,top
C3,50.01,40.64,180.0,top
C30,22.86,25.72,270.0,top
C31,5.08,58.735,270.0,top
C32,7.62,58.735,270.0,top
C33,10.16,58.735,270.0,top
C34,12.7,58.735,270.0,top
C35,15.24,58.735,270.0,top
C36,17.78,58.735,270.0,top
C37,20.32,58.735,270.0,top
C38,22.86,58.735,270.0,top
C39,97.437,65.024,180.0,top
C4,44.605,19.685,0.0,top
C40,97.437,64.008,180.0,top
C5,42.975,35.56,0.0,top
C6,59.006,44.196,0.0,top
C7,46.355,9.84,90.0,top
C8,43.32,5.08,180.0,top
C9,59.055,40.5,270.0,top
D1,38.862,18.415,180.0,top
D10,12.7,15.0875,90.0,top
D11,5.08,30.325,90.0,top
D12,7.62,30.325,90.0,top
D13,10.16,30.325,90.0,top
D14,12.7,30.325,90.0,top
D15,15.24,15.0875,90.0,top
D16,17.78,15.0875,90.0,top
D17,20.32,15.0875,90.0,top
D18,22.86,15.0875,90.0,top
D19,15.24,30.325,90.0,top
D2,41.021,29.6925,90.0,top
D20,17.78,30.325,90.0,top
D21,20.32,30.325,90.0,top
D22,22.86,30.325,90.0,top
D23,5.08,48.1075,90.0,top
D24,7.62,48.1075,90.0,top
D25,10.16,48.1075,90.0,top
D26,12.7,48.1075,90.0,top
D27,5.08,63.345,90.0,top
D28,7.62,63.345,90.0,top
D29,10.16,63.345,90.0,top
D3,94.901,57.785,0.0,top
D30,12.7,63.345,90.0,top
D31,15.24,48.1075,90.0,top
D32,17.78,48.1075,90.0,top
D33,20.32,48.1075,90.0,top
D34,22.86,48.1075,90.0,top
D35,15.24,63.345,90.0,top
D36,17.78,63.345,90.0,top
D37,20.32,63.345,90.0,top
D38,22.86,63.345,90.0,top
D39,82.931,17.9325,90.0,top
D4,46.355,15.335,90.0,top
D40,85.979,17.9325,90.0,top
D41,89.027,17.9325,90.0,top
D42,92.075,17.9325,90.0,top
D43,95.123,17.9325,90.0,top
D44,98.171,17.9325,90.0,top
D45,101.219,17.9325,90.0,top
D46,104.267,17.9325,90.0,top
D47,82.931,51.0795,90.0,top
D48,85.979,51.0795,90.0,top
D49,89.027,51.0795,90.0,top
D5,57.785,34.83,270.0,top
D50,92.075,51.0795,90.0,top
D51,95.123,51.0795,90.0,top
D52,98.171,51.0795,90.0,top
D53,101.219,51.0795,90.0,top
D54,104.267,51.0795,90.0,top
D6,66.0345,31.435,180.0,top
D7,5.08,15.0875,90.0,top
D8,7.62,15.0875,90.0,top
D9,10.16,15.0875,90.0,top
F1,88.7075,57.785,0.0,top
J1,31.74,8.485,0.0,top
J2,103.085,61.62,90.0,top
J3,13.07,6.4275,0.0,top
J4,13.07,39.5745,0.0,top
J5,94.35,6.4275,0.0,top
J6,94.35,39.5745,0.0,top
J7,71.75,11.41,0.0,top
L1,40.76,40.005,180.0,top
L2,55.245,12.83,90.0,top
L3,60.96,39.7975,270.0,top
Q1,55.245,41.005,90.0,top
Q10,101.6,14.335,90.0,top
Q11,104.648,14.335,90.0,top
Q12,83.312,47.482,90.0,top
Q13,86.36,47.482,90.0,top
Q14,89.408,47.482,90.0,top
Q15,92.456,47.482,90.0,top
Q16,95.504,47.482,90.0,top
Q17,98.552,47.482,90.0,top
Q18,101.6,47.482,90.0,top
Q19,104.648,47.482,90.0,top
Q2,64.135,42.91,90.0,top
Q3,73.675,58.1,270.0,top
Q4,83.312,14.335,90.0,top
Q5,86.36,14.335,90.0,top
Q6,89.408,14.335,90.0,top
Q7,92.456,14.335,90.0,top
Q8,95.504,14.335,90.0,top
Q9,98.552,14.335,90.0,top
R1,39.37,29.655,90.0,top
R10,73.535,62.865,180.0,top
R100,105.537,17.655,90.0,top
R101,95.123,21.145,270.0,top
R102,98.171,21.145,270.0,top
R103,101.219,21.145,270.0,top
R104,104.267,21.145,270.0,top
R105,84.201,53.7972,270.0,top
R106,87.249,53.721,270.0,top
R107,90.297,53.7972,270.0,top
R108,93.345,53.7972,270.0,top
R109,84.201,50.802,90.0,top
R11,59.055,47.115,90.0,top
R110,87.249,50.802,90.0,top
R111,90.297,50.802,90.0,top
R112,93.345,50.802,90.0,top
R113,82.931,54.292,270.0,top
R114,85.979,54.292,270.0,top
R115,89.027,54.292,270.0,top
R116,92.075,54.292,270.0,top
R117,96.393,53.7972,270.0,top
R118,99.441,53.7972,270.0,top
R119,102.489,53.7972,270.0,top
R12,37.846,47.117,270.0,top
R120,105.537,53.7972,270.0,top
R121,96.393,50.802,90.0,top
R122,99.441,50.802,90.0,top
R123,102.489,50.802,90.0,top
R124,105.537,50.802,90.0,top
R125,95.123,54.292,270.0,top
R126,98.171,54.292,270.0,top
R127,101.219,54.292,270.0,top
R128,104.267,54.292,270.0,top
R129,44.196,44.831,180.0,top
R13,37.846,55.753,270.0,top
R130,37.846,49.405,270.0,top
R131,97.407,60.071,180.0,top
R132,97.407,62.992,180.0,top
R14,37.846,53.721,90.0,top
R16,75.44,24.765,0.0,top
R17,78.74,35.56,0.0,top
R2,50.4425,43.18,180.0,top
R24,64.26,38.735,180.0,top
R26,77.216,31.24,270.0,top
R3,46.7125,43.18,180.0,top
R31,36.322,53.213,180.0,top
R32,99.695,28.702,270.0,top
R33,5.08,18.225,270.0,top
R34,7.62,18.225,270.0,top
R35,10.16,18.225,270.0,top
R36,12.7,18.225,270.0,top
R37,5.08,21.4865,270.0,top
R38,7.62,21.4865,270.0,top
R39,10.16,21.4865,270.0,top
R4,40.8325,15.875,0.0,top
R40,12.7,21.4865,270.0,top
R41,36.322,54.229,180.0,top
R42,36.322,55.245,180.0,top
R43,36.322,56.261,180.0,top
R44,36.322,57.277,180.0,top
R45,15.24,18.225,270.0,top
R46,17.78,18.225,270.0,top
R47,20.32,18.225,270.0,top
R48,22.86,18.225,270.0,top
R49,15.24,21.4865,270.0,top
R5,46.355,5.905,270.0,top
R50,17.78,21.4865,270.0,top
R51,20.32,21.4865,270.0,top
R52,22.86,21.4865,270.0,top
R53,33.528,63.375,270.0,top
R54,34.544,63.375,270.0,top
R55,35.56,63.375,270.0,top
R56,36.576,63.375,270.0,top
R57,5.08,51.245,270.0,top
R58,7.62,51.245,270.0,top
R59,10.16,51.245,270.0,top
R6,55.37,44.45,0.0,top
R60,12.7,51.245,270.0,top
R61,5.08,54.5065,270.0,top
R62,7.62,54.5065,270.0,top
R63,10.16,54.5065,270.0,top
R64,12.7,54.5065,270.0,top
R65,25.4,63.377,270.0,top
R66,26.416,63.377,270.0,top
R67,27.432,63.377,270.0,top
R68,28.448,63.377,270.0,top
R69,15.24,51.245,270.0,top
R7,61.085,42.545,180.0,top
R70,17.78,51.245,270.0,top
R71,20.32,51.245,270.0,top
R72,22.86,51.245,270.0,top
R73,15.24,54.5065,270.0,top
R74,17.78,54.5065,270.0,top
R75,20.32,54.5065,270.0,top
R76,22.86,54.5065,270.0,top
R77,29.464,63.377,270.0,top
R78,30.48,63.377,270.0,top
R79,31.496,63.377,270.0,top
R8,43.37,3.175,180.0,top
R80,32.512,63.377,270.0,top
R81,84.201,20.6756,270.0,top
R82,87.249,20.6756,270.0,top
R83,90.297,20.6756,270.0,top
R84,93.345,20.6756,270.0,top
R85,84.201,17.655,90.0,top
R86,87.249,17.655,90.0,top
R87,90.297,17.655,90.0,top
R88,93.345,17.655,90.0,top
R89,82.931,21.145,270.0,top
R9,39.815,5.08,180.0,top
R90,85.979,21.145,270.0,top
R91,89.027,21.145,270.0,top
