Designator,Mid X,Mid Y,Rotation,Layer
R12,79.504,62.23,180.0,top
R120,105.537,51.056,90.0,top
R121,104.267,54.547,270.0,top
R13,58.93,51.435,0.0,top
R14,58.547,47.117,90.0,top
R15,37.846,55.753,270.0,top
R16,44.196,44.831,180.0,top
R17,37.846,53.721,90.0,top
R18,37.846,49.405,270.0,top
R19,37.846,47.117,270.0,top
R2,96.645,60.071,180.0,top
R20,74.678,23.749,0.0,top
R21,76.837,35.56,0.0,top
R22,61.724,39.878,180.0,top
R23,75.311,32.383,270.0,top
R24,37.594,37.696,180.0,top
R25,104.14,28.194,270.0,top
R26,84.201,21.842,270.0,top
R27,84.201,18.798,90.0,top
R28,82.931,22.289,270.0,top
R29,2.349,20.828,180.0,top
R3,96.645,62.992,180.0,top
R30,2.286,24.7885,270.0,top
R31,28.194,33.526,270.0,top
R32,5.397,20.828,0.0,top
R33,5.334,24.7885,270.0,top
R34,30.734,33.526,270.0,top
R35,8.445,20.828,180.0,top
R36,8.382,24.7885,270.0,top
R37,33.274,33.526,270.0,top
R38,11.493,20.828,0.0,top
R39,11.43,24.7885,270.0,top
R4,50.4425,43.18,180.0,top
R40,35.56,33.526,270.0,top
R41,14.541,20.828,180.0,top
R42,14.478,24.7885,270.0,top
R43,26.924,33.526,270.0,top
R44,17.589,20.828,0.0,top
R45,17.526,24.7885,270.0,top
R46,29.464,33.526,270.0,top
R47,20.637,20.828,180.0,top
R48,20.574,24.7885,270.0,top
R49,32.004,33.526,270.0,top
R5,46.7125,43.18,180.0,top
R50,23.685,20.828,0.0,top
R51,23.622,24.7885,270.0,top
R52,34.544,33.526,270.0,top
R53,2.349,53.086,180.0,top
R54,2.286,57.0465,270.0,top
R55,28.194,46.484,270.0,top
R56,5.397,53.086,0.0,top
R57,5.334,57.0465,270.0,top
R58,29.718,46.484,270.0,top
R59,8.445,53.086,180.0,top
R6,41.0865,16.002,0.0,top
R60,8.382,57.0465,270.0,top
R61,30.734,46.484,270.0,top
R62,11.493,53.086,0.0,top
R63,11.43,57.0465,270.0,top
R64,31.75,46.484,270.0,top
R65,14.541,53.086,180.0,top
R66,14.478,57.0465,270.0,top
R67,26.924,65.276,270.0,top
R68,17.589,53.086,0.0,top
R69,17.526,57.0465,270.0,top
R7,46.355,5.905,270.0,top
R70,29.464,65.276,270.0,top
R71,20.637,53.086,180.0,top
R72,20.574,57.0465,270.0,top
R73,32.004,65.276,270.0,top
R74,23.685,53.086,0.0,top
R75,23.622,57.0465,270.0,top
R76,34.544,65.276,270.0,top
R77,87.249,21.842,270.0,top
R78,87.249,18.798,90.0,top
R79,85.979,22.289,270.0,top
R8,54.864,44.45,0.0,top
R80,90.297,21.842,270.0,top
R81,90.297,18.798,90.0,top
R82,89.027,22.289,270.0,top
R83,93.345,21.842,270.0,top
R84,93.345,18.798,90.0,top
R85,92.075,22.289,270.0,top
R86,96.393,21.842,270.0,top
R87,96.393,18.798,90.0,top
R88,95.123,22.289,270.0,top
R89,99.441,21.842,270.0,top
R9,59.69,42.291,180.0,top
R90,99.441,18.798,90.0,top
R91,98.171,22.289,270.0,top
R92,102.489,21.842,270.0,top
